Country Name,Country Code,Benua,Income Group,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Amerika Utara,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.55922942669,8244.045660114334,10056.261392741357,11507.217150984949,12187.536361189792,13233.990516968332,13892.60514277364,14700.959808152096,16055.287787433748,16548.71738689872,16620.9545555513,17750.009564419815,18828.08705940713,19216.1972354472,20681.02302696252,20740.132582817216,21307.24825052669,21949.48599608684,23700.63198991973,24171.83713254216,24845.658483619995,26736.308944404624,28171.909400850072,25134.7712303589,24093.140151062573,25712.3843015186,25119.665544983844,25813.571440843843,26129.839061769275,27458.220153750623,27441.55021446005,28440.04168814911,30082.158422679757,30645.89060245485,22759.807175072245,26749.329609311764,30975.9989121779,35718.75311916344,39498.59412937967,
Afghanistan,AFG,Asia,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9309914301663,138.7068216761131,178.95408837923534,198.87111572872664,221.76365387301303,254.18424914933624,274.21855356157454,376.2231520038759,381.7332380284397,452.053705477043,560.6215054631456,606.6946763377257,651.4171344700457,637.0870991170988,625.0549418139383,565.5697304087512,522.0822155838985,525.4697708916185,491.3372213826032,496.6025042584997,510.78706336681074,356.49621411589226,357.2611527981439,413.7578947053032,,
Angola,AGO,Afrika,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,729.1119654898222,657.9826485473982,634.2214673127817,636.8328110229198,650.4910944132179,772.4688325862652,697.526602399253,770.1011400864501,807.4396283862403,907.747893072936,965.8668404646654,881.9194881300624,668.7060174598766,449.7278949362951,334.9735902760742,404.2948184961201,531.1153665432705,521.7029148905301,429.188126933192,392.7255390274963,563.733795571487,533.5862024124473,999.065855913758,1133.663319606071,1451.471178724934,2145.8862109632746,2930.444286073203,3515.0567898653467,4578.155264515174,3645.1484656297575,4101.637155667117,5184.152691499118,5702.453062774339,5688.57916215215,5649.687624691393,3641.72893919944,2051.81462126253,2790.718868697683,2860.093648368199,2493.678844401766,1759.356199182642,2303.908126627765,3682.113151369797,2916.136632842746,2665.874447767527,
Albania,ALB,Eropa,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,590.6077384305289,663.2942082543998,668.4545042424536,661.5467824486235,639.4847301614174,639.8659037555516,693.8734746338873,674.7933830694916,652.7743213965662,697.9955965765195,617.2304355155054,336.5869945046292,200.852219772323,367.2792250775812,586.4161351308651,911.3204654453264,1020.9761805018812,728.5455237296745,831.1753440772948,1056.3448115303306,1160.4204705403845,1326.4165238807702,1479.8388457200615,1908.699006876076,2446.9094994779816,2741.721365495784,3057.7725703811257,3743.055298961872,4498.504867636008,4213.650075746932,4149.14469936847,4465.709143288648,4280.933163388727,4542.929035567388,4793.597511315253,4199.539129253976,4457.634122074947,5006.360129519591,5897.654525887742,6069.439031310275,6027.913507163485,7242.455131466127,7756.961887442532,9730.869219068934,11377.775743109876,
Andorra,AND,Eropa,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3935.411277796091,4169.695371038854,4940.296962392067,6151.02717030722,7139.574511983801,7925.41577090452,7721.288586467972,8167.922861593339,9409.508512727933,11996.40728603536,12474.925291990405,10465.26046436241,9697.522019941332,8082.091520174348,7808.130027135486,7911.984362239636,10539.1177869653,12828.151943015246,14599.035517879833,15714.926551657649,19563.65747224881,19533.26206680226,20099.535220854283,15916.83951620869,15748.530750337331,18443.25451977411,19130.15971513118,18247.99956513607,18536.50842826984,18875.28836985709,21810.250380866557,23511.29695008812,26528.13006282361,34063.575598394025,39021.1107100919,40829.81163995376,43467.19630630677,48336.25483049259,49132.49258400572,43975.00008881326,42746.83039156702,46657.14953848111,41500.54999882881,42470.32303693656,44369.67129767766,38654.95287916002,40129.83858114741,40672.9717424447,42819.757745613286,41257.81645934496,37361.10700816147,42425.70664543573,42414.04798612277,46812.42610131024,49303.64916743357,
United Arab Emirates,ARE,Asia,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,2394.068114710547,2805.4264272258683,3675.416814195336,9695.81418807304,23822.97155603065,27117.18807296136,31196.979178575853,35020.36043559615,29379.12774249905,34238.28644531866,42925.233878440726,44854.48003156148,39972.49466745944,34650.00412459884,32012.314154027288,29467.541975892884,23132.07396759882,23112.623420645967,21569.706885299685,23166.730590378706,26709.993440326976,25690.96863214481,25648.27277608442,25032.78227029065,25472.639657897907,27003.20068077823,28323.165087053225,27982.795704056392,24889.42691922791,25855.860504658696,29865.502347066005,27745.17080876723,27753.60895263462,29659.54285678113,33376.71522952092,38719.31383076232,44342.6048322482,45854.73251581623,50054.170068180334,37803.06637387768,44795.29493022682,51921.904511613,53141.61243400989,53247.24094954414,52725.23584079344,44910.33499552302,42721.09993831847,43733.61922874352,47135.35919439715,45938.60735819938,37991.74929716649,44118.50471927712,50759.75892311914,49850.6872175164,50273.50604698368,
Argentina,ARG,Amerika Selatan,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,778.2517067634038,971.3380433083724,870.2174909054028,852.9724251394331,1176.2008619031317,1281.8333797685889,1275.0784341896642,1063.9328383358682,1141.9521161734106,1329.5618183240877,1322.7145421680775,1372.5074664606132,1409.3709731621088,2097.8994501080606,2844.969905267612,2026.684357528652,1946.9199038824831,2126.485460480474,3282.0630444628905,2511.973329059583,2747.502275167402,2764.0864142107885,2914.7670850417558,3537.747345983197,3915.03492645691,2905.7756553613667,3436.0781947105334,3477.301319793132,3992.7033017915646,2374.573215516413,4315.334031115882,5709.247840795045,6789.996111364947,6931.855963758755,7437.562423275942,7357.616277378798,7663.212712874685,8146.787100214308,8218.992127646823,7705.5428825285135,7637.014892036284,7141.475076628263,2569.699635191236,3320.477751339027,4242.020990894215,5067.653422932756,5869.380289702044,7185.251551470267,8944.1102657357,8150.235270282207,10260.13131082542,12704.283181968423,12949.71748665402,12963.67577332604,12233.144411918582,13679.626498095417,12699.962313775635,14532.500930851062,11752.799892297908,9955.974786804276,8535.59938004389,10738.017922338438,13962.18940872232,14261.84656679479,13969.78366037374,
Armenia,ARM,Asia,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.3553275025167,572.7402609009769,356.35078000693306,347.87064472087786,390.8799642976554,443.9248608579757,487.068624404558,505.0358870579657,590.2399473334593,582.6698861508952,593.4505817422821,659.5889885356293,742.6511183198187,882.0301676954736,1130.0879144415808,1557.4845890865474,2041.6526706899688,2962.7023459456896,3777.668593137672,2820.592655334702,3041.344507233394,3349.553097719061,3511.563996874258,3680.1669215888583,3852.118006103845,3512.3935027670905,3524.4247687470715,3869.0537386775177,4196.005623017693,4597.228873995479,4268.6809330458345,4685.179971285085,6571.974455450988,8159.0872096799585,8556.214069567193,
American Samoa,ASM,Oceania,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.69636535698,9197.661968369872,8958.428666971735,8831.269759966088,8745.166211374039,9231.372409245629,10030.808913090206,12156.029390577727,10375.172014195698,10383.459331450951,11745.489915395769,11813.502203458876,12026.33449294879,12727.41026513862,12843.334290362714,11863.683945256464,12552.054686886147,12886.135951721802,14489.258656377484,15236.160487557136,18017.45893839725,,,
Antigua and Barbuda,ATG,Amerika Utara,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1213.6702171464626,1374.8202745360682,1705.1419904828747,2053.1032792127453,2310.1969982044207,2569.181823638874,2846.9933573577277,3270.781030406196,3814.314229077896,4629.456764001539,5424.368477569616,6466.156834734236,7187.904841280285,7590.754424230465,7956.474309196476,8153.737863072687,8624.620168066278,9351.487537685043,9034.475529071433,9756.08717951992,10336.25916178377,10906.878540696138,11342.33492309131,12027.494976822189,11539.182506330751,11658.694991595605,12173.231986030503,13037.889577225696,14368.570879605784,16173.8136329968,18204.51240430678,18786.67431422159,16472.247852856835,15217.39507909222,14911.72750844715,15639.80781147868,15051.511358742462,15532.106206358443,16077.634076940634,16556.85518015876,16965.728827381565,18273.427068491183,18896.37218322477,15369.60822504014,17348.600698718186,20105.19890851644,21494.547400072708,23542.4526945578,
Australia,AUS,Oceania,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,1813.4310991703944,1880.484894982324,1857.56127281956,1970.1774841781692,2134.489461246083,2284.3558273866406,2347.376566465153,2583.9075241973032,2728.234261149008,2995.86119857452,3309.7630625436204,3500.3360319560607,3955.224304030175,4777.513168995,6491.745216210987,7013.671597615136,7497.281754135773,7786.408040692803,8264.438903736527,9307.821279500107,10223.288667510487,11870.863307733878,12797.67589598086,11532.402805558191,12436.296905203826,11455.379711213049,11406.109301103746,11665.52982718106,14303.093047614992,17857.552055458833,18273.56152646805,18885.42744650566,18650.36754766119,17724.53995016559,18155.628200017916,20479.174827423263,22055.838490507,23683.49489649336,21516.04031477587,20749.644377909604,21908.996801978352,19733.651010264537,20335.096019102304,23757.58984716837,30886.05009494012,34535.20727090995,36658.82434761221,41128.24766184024,49811.206721898845,42954.849488457294,52313.89390412135,62799.38950170316,68301.44025125871,68476.67884961178,62817.20617517368,56970.36130280944,50084.44406063846,54117.54771860902,57410.173734600896,55194.75850974282,51983.4523666382,60758.9044397144,65169.51911186567,65058.37731466737,64603.985630846415,
